Given Matrix (M size: 4):
|  23.66  20.39  -2.67 -40.59 |
|  -0.91  75.74  69.32 -20.42 |
| -50.74 -70.86 -10.28  11.26 |
|  19.33 -36.33  67.46 -21.36 | = det(M) = 1.77389e+07(0ms)

Given Matrix (M size: 5):
| -72.15 -30.61  63.57  -8.32  -2.39 |
| -73.04  57.88   50.7  24.73 -76.64 |
|   34.9   3.91  -64.6  -3.32 -31.43 |
|  56.93  60.37 -14.83  51.73  -1.15 |
| -20.75   5.72 -47.62 -64.18   4.36 | = det(M) = 2.93308e+08(0ms)

Given Matrix (M size: 6):
| -47.73  13.05 -71.89     43  65.47   5.81 |
| -62.62    -39 -64.33   26.3  36.96  18.86 |
|  54.84   1.37  41.23  40.64  28.56 -53.64 |
|   3.46 -34.24 -51.51 -64.36 -44.88 -22.45 |
|  54.88 -55.14  67.44  72.06  58.13 -10.21 |
|  12.18 -19.58 -35.62 -52.58 -11.99  70.24 | = det(M) = 9.22408e+09(0ms)

Given Matrix (M size: 7):
|  -9.24 -44.02  23.74 -14.08 -28.84   44.6  21.61 |
|  69.37  70.45   7.81 -39.85  27.23  53.04 -70.02 |
| -24.42  47.53   1.48 -42.35 -60.95  69.55 -16.12 |
| -14.46  26.48    -62 -72.19  -5.85  42.62  39.46 |
| -16.06 -43.38 -58.74 -34.74  66.72 -57.72  39.07 |
|  31.15  55.72  29.46 -26.79   11.6 -17.02  63.53 |
| -55.77 -37.09  74.96 -22.32 -18.13 -42.17  49.49 | = det(M) = 1.19724e+12(1ms)

Given Matrix (M size: 8):
|  20.61  75.94  -4.49 -48.46 -20.25 -47.86  -5.13 -58.53 |
|  19.95  75.14  45.56  27.86 -53.03 -74.44  76.05 -12.19 |
|  -5.65  46.89 -60.24 -69.33  49.04 -28.64 -18.79 -63.86 |
| -23.47 -16.21 -38.65  68.59  44.57 -12.33  32.74 -53.37 |
|  38.73   8.15   3.92  32.74 -62.61   3.05 -75.76   0.79 |
|   2.77  54.68  -6.49  39.39  17.83 -70.52   8.28  36.74 |
| -43.59 -72.17   3.43  29.12  -68.6 -15.03 -73.92   20.5 |
| -20.16 -32.52 -59.35   31.3 -39.89  -9.66  57.65  37.91 | = det(M) = 2.70946e+14(11ms)

Given Matrix (M size: 9):
|  44.79 -54.41 -54.41  66.92 -10.02  -0.97 -39.42 -55.19 -43.85 |
| -67.18 -74.04 -41.05  37.48  71.82  32.29  -4.03 -10.51 -53.37 |
|  44.95  -9.09    -64 -67.12  75.78  33.97  -6.06  39.81 -15.15 |
| -12.84 -34.64 -46.86   65.7 -20.36 -33.56 -70.75 -39.33  55.99 |
|  50.84 -43.11  59.34  13.08  47.13 -67.73   21.3 -24.66   2.89 |
| -26.05  27.38 -23.01 -48.37 -52.07 -42.27 -54.68 -34.87   63.2 |
|  39.25  48.42   28.1  37.61  27.45  33.46 -22.25 -45.76  63.67 |
|  22.56 -37.44 -49.34 -24.07  14.97  56.64  12.56  16.98  21.51 |
|  -2.48 -27.27 -21.38  -5.92  35.55 -58.75  -18.8  49.79 -25.23 | = det(M) = -5.86675e+16(59ms)

Given Matrix (M size: 10):
|  16.87 -55.35  -32.4  52.49   -8.4  45.55  29.69  32.91  51.64  19.91 |
| -36.43   29.7 -59.78  51.45  10.05  -8.35  -8.54   -4.4 -23.16  61.98 |
| -30.31  25.52 -48.01 -37.36  58.32  55.74  57.56  14.03  49.64 -52.79 |
|  76.78  49.75  65.41  68.34  32.53  62.21  28.48 -62.73  68.34  52.93 |
